Ai là thủ tướng Ấn Độ hiện tại	Thủ tướng Ấn Độ sắp sang Mỹ gặp ông Trump mua vũ khí	false
Ai là thủ tướng Ấn Độ hiện tại	Narendra Damodardas Modi ( tiếng Gujarat : નરેન્દ્ર દામોદરદાસ મોદી , [ nəreːnd̪rə d̪ɑːmoːd̪ərəd̪ɑːsə moːd̪iː ] ( nghe ) , tiếng Hindi : नरेन्द्र दामोदरदास मोदी , sinh ngày 17 tháng 9 năm 1950 ) là Thủ tướng Ấn Độ thứ 15 . Ông là thủ lĩnh của đảng Bharatiya Janata ( đảng Nhân dân ) , từng giữ chức Thủ tịch bộ trưởng Gujarat từ năm 2001 đến năm 2014 . Ông đại diện cho Varanasi tại Lok Sabha .	true
Ai là thủ tướng Ấn Độ hiện tại	- Google hôm 3/6 đã xin lỗi Thủ tướng Ấn Độ Narendra Modi sau khi hình ảnh của ông xuất hiện trong kết quả tìm kiếm cho yêu cầu “ 10 tội phạm hàng đầu ” .	true
Ai là thủ tướng Ấn Độ hiện tại	thủ tướng thăm Ấn Độ Nguyễn Xuân Phúc ASEAN thủ tướng Ấn Độ Nguyễn Xuân Phúc	false
Ai là thủ tướng Ấn Độ hiện tại	Tin tức về chủ đề " Thủ tướng Ấn Độ Narendra Modi "	true
Ai là chủ tịch tập đoàn Hòa Phát	Ngày hôm nay , trên các diễn đàn tài chính chứng khoán xuất hiện tin đồn về ông Trần Đình Long - Chủ tịch Tập đoàn Hoà Phát ( mã HPG ) đã " hạ thế " vì đột quỵ và thông tin này chưa được công bố .	true
Ai là chủ tịch tập đoàn Hòa Phát	Chủ tịch Tập đoàn Hoà Phát Trần Đình Long ' hạ thế ' là tin đồn nhảm ! - Doanh nghiệp - NDH.vn	true
Ai là chủ tịch tập đoàn Hòa Phát	Ông Trần Đình Long , Chủ tịch Tập đoàn Hoà Phát đã vượt nữ tỷ phú Phương Thảo để trở thành người giàu thứ 3 trên sàn chứng khoán Việt , với khối tài sản xấp xỉ 1 tỷ USD .	true
Ai là chủ tịch tập đoàn Hòa Phát	Doanh nhân Trần Đình Long , Chủ tịch HĐQT Tập đoàn Hoà Phát : Thép vẫn là bánh mỳ của công nghiệp	true
Ai là chủ tịch tập đoàn Hòa Phát	Ông Trần Đình Long , Chủ tịch Hội đồng Quản trị Tập đoàn Hoà Phát ( mã chứng khoán HPG ) đã trở lại danh sách tỷ phú USD ...	true
Ai là chủ tịch tập đoàn Hòa Phát	Từ năm 1992 đến năm 1996 , ông Long giữ vai trò Chủ tịch HĐTV Công ty TNHH thiết bị phụ tùng Hoà Phát . Năm 1996 , công ty chuyển hướng kinh doanh thép , ông Long trở thành Chủ tịch HĐQT các công ty thuộc nhóm Hoà Phát . Từ năm 2005 đến nay , ông Long gắn bó với chức vụ Chủ tịch HĐQT Công ty cổ phần Tập đoàn Hoà Phát .	true
Ai là chủ tịch tập đoàn Hòa Phát	Doanh thu hàng năm của Tập đoàn Hoà Phát đạt khoảng 900 triệu USD . [ cần dẫn nguồn ] Chủ tịch Hội đồng Quản trị Tập đoàn hiện nay là ông Trần Đình Long . [ cần dẫn nguồn ]	true
Ai là chủ tịch tập đoàn Hòa Phát	Chia sẻ với VnExpress sau khi được Forbes công nhận là tỷ phú USD với 1,3 tỷ USD tài sản , ông Trần Đình Long - Chủ tịch HĐQT Tập đoàn Hoà Phát , thú nhận đã lâu không làm việc để vì mục tiêu kiếm một con số cụ thể bao nhiêu tiền trong ngày .	true
Ai là chủ tịch tập đoàn Hòa Phát	“ Vài năm nay , mọi người nhìn thép rất xấu , nhưng thép vẫn được coi là bánh mì của công nghiệp và tại những nước công nghiệp hoá mới như chúng ta , nhu cầu thép vẫn còn tăng ” , đó là chia sẻ chân tình của ông Trần Đình Long , Chủ tịch HĐQT Tập đoàn Hoà Phát khi nói về những mối quan tâm của dư luận thời gian gần đây trước những biến động lớn trong ngành thép lẫn tương lai của ngành này tại Việt Nam .	true
Ai là chủ tịch tập đoàn Hòa Phát	Doanh nhân , CT HĐQT tập đoàn Hoà Phát Trần Đình Long	true
Bài kiểm tra IQ đầu tiên do ai phát triển?	Bài kiểm tra đầu tiên do nhà tâm lý học Pháp Alfred Binet nghiên cứu phát triển , dưới yêu cầu của chính phủ Pháp để tìm ra những học sinh sẽ gặp phải nhiều khó khăn nhất khi theo học tại trường . Kết quả của nghiên cứu này đã tạo nên thang Binet-Simon vào năm 1905 , và đến nay thang này vẫn được coi là nền tảng của những bài kiểm tra IQ hiện đại . Tuy nhiên chính bản thân Binet lại cho rằng , những bài kiểm tra IQ không có đủ khả năng để đánh giá trí thông minh của con người - khi đã bỏ qua kỹ năng sáng tạo hay trí tuệ cảm xúc .	false
Bài kiểm tra IQ đầu tiên do ai phát triển?	Lần đầu tiên , chỉ số IQ được sử dụng ở Pháp vào đầu thế kỷ 20 khi người ta muốn khắc phục những khó khăn của trẻ lúc bắt đầu đi học . Tiếp đó , bài kiểm tra trắc nghiệm IQ được coi là hoàn chỉnh nhất của chuyên gia Hans Aizenk . Bài trắc nghiệm trở nên vô cùng phổ biến tại châu Âu trong những năm 1950 .	false
Bài kiểm tra IQ đầu tiên do ai phát triển?	Đầu những năm 1900 , hàng tá bài kiểm tra trí thông minh đã ra đời ở châu Âu và Mỹ , với mục đích tạo cách thức công bằng để đo lường khả năng nhận thức của một người . Bài kiểm tra đầu tiên trong số này được phát triển bởi nhà tâm lý học Alfred Binet , người được chính phủ Pháp uỷ nhiệm để xác định những học sinh gặp nhiều khó khăn nhất ở trường .	true
